title,start_year,end_year,language,run_time,rating,summary,status
Made in Mexico,2018,2018,Spanish,50.0,,"These Mexico City socialites may lead opulent lives, but a peek behind the curtain reveals a tangled web of intrigue, envy and personal struggles.",Ended
El día menos pensado,2020,2023,Spanish,33.0,,"Pro cycling's Movistar Team sets their sights on victory while on the road as they face challenges, controversy and internal conflict.",Ended
Tijuana,2019,,Spanish,41.0,,"When the gubernatorial front-runner is shot in the street, the reporters of Frente Tijuana race to cover the story, but the facts they uncover run much deeper than the assassination—insidious corruption has been allowed to grow in the shadows. Violence and intrigue become the norm for Borja's team of journalists as they risk their lives in their crusade to expose the truth.",Running
Border Security: America's Front Line,2012,2024,English,30.0,6.8,"Border Security: America's Front Line follows the work of US Customs and Border Protection (CBP) officers and agents as they clear travelers at land, air and marine ports of entry, inspect cargo and secure America's borders. In search of illegal travelers, weapons, and contraband, there's never a dull moment for the men and women who work for CBP.",Ended
Shadow of Truth,2016,2016,Hebrew,40.0,,"A four part documentary mini-series that examines the mysterious murder case of Tair Rada, an Israeli high-school girl who was found brutally murdered in her school's toilets during an ordinary day.",Ended
The Principal,2015,2015,English,60.0,7.4,"Set in a boy's high school, this four part drama series features AACTA award-winning Alex Dimitriades who plays the role of Matt Bashir, a former history teacher and Deputy Principal at a prestigious girls' school, who is promoted to Principal of Boxdale Boys High.Boxdale Boys High is a notoriously violent and difficult school and Principal Bashir is brought in because of his different and radical approach to reform. The sudden change brings him into conflict on all fronts and even leaves his personal life exposed. Still, Bashir works overtime to get the local community on side, promising change, but just when it seems he is making progress, a student is found dead on school grounds.",Ended
"Ada Twist, Scientist",2021,2023,English,15.0,,"Ada Twist, Scientist featuring a young Black scientist who will explore helping people through scientific discovery, collaboration and friendship.",Ended
Love Sick: The Series,2014,2015,Thai,40.0,7.4,"Phun has a girlfriend but his father wants him to date his friend's daughter. Phun's little sister, Pang, is obsessed with boys' love. Phun needs to convince Pang that he has a boyfriend so that she can help talk their father around the idea of dating his friend's daughter. So he asked Noh to become his fake boyfriend in exchange for helping Noh raising fund for his Music Club. However, the two 17 years old high school boys eventually fall in love after the deal brought them closer together. ~~ Based on the online Thai BL novel ""LOVE SICK: The Chaotic Lives of Blue Shorts Guys""",Ended
Scams,2019,2019,Japanese,30.0,,"After the Lehman Brothers bankruptcy, Seijitsu gets laid off and is forced to accept a new position at a company that uses phone phishing to scam the elderly.",Ended
Girls Incarcerated,2018,2019,English,43.0,,"At Madison Juvenile Correctional Facility in Indiana, teen girls struggle with conflict and heartbreak as they try to turn their lives around. Fights, friendships, dating, rules. Teenage life is full of drama. But behind bars, the stakes are so much higher.",Ended
Terrace House: Aloha State,2016,2017,Japanese,37.0,,"The Beautiful island of Oahu is host to a new batch of six strangers who share a single roof, multiple conflicts, and no script in this relaity series.",Ended
Spriggan,2022,,Japanese,45.0,5.4,An ancient alien civilization's relics on Earth hold dangerous powers. The ARCAM corporation's Spriggan agents must keep them out of the wrong hands.,To Be Determined
Sпарта,2018,2018,Russian,52.0,,,Ended
Ponysitters Club,2018,,English,30.0,,A young horse enthusiast teams up with her best friends to rescue and rehabilitate animals on her family's beloved ranch.,Running
Pinky Malinky,2019,2019,English,13.0,7.2,"Pinky Malinky sees the bright side of everything, including being born a hot dog. With his BFFs in tow, this little wiener takes a bite out of life.",Ended
Black Knight,2017,2018,Korean,60.0,,"Moon Soo Ho is a businessman with a pure heart braves danger for his love, Jung Hae Ra who is a travel agent but never traveled abroad.",Ended
Engineering Girls,2018,,Hindi,21.0,,"Three engineering students deal with dorm drama, date around, and do whatever it takes to make their dreams come true.",To Be Determined
Kod Adi: Kulüp,,,,,,,
The Great Interior Design Challenge,2014,2017,English,60.0,,"The search for Britain's best amateur interior designers. Working in a variety of architectural styles, the contestants have three days to impress both the judges and the homeowners.",Ended
Meerkat Manor,2006,2008,English,30.0,8.0,"Animal Planet's series Meerkat Manor follows the Whiskers, a family of meerkats, that struggles to survive in Africa's Kalahari Desert. The series was filmed over the course of a 10-year period for a Cambridge University study. Meerkat Manor is narrated by Bill Nighy in the United Kingdom, Mike Goldman in Australia, and Sean Astin in the United States.",Ended
Hashoter Hatov,2015,,Hebrew,30.0,,"An Israeli police comedy. Danny Konfino is a police officer serving in a suburban police station. Although his quick temper often gets him into trouble, he is as honest as one can get and a highly dedicated crime fighter. With his anger management issues he tries to manouver between his dysfunctional family, his ex-girlfriend who turned Lesbian, a possible love affair with one of his colleagues and a statiion chief totally lacking any trait of self awareness and an obsession to branded hand cream.",Running
Stretch Armstrong and the Flex Fighters,2017,2018,English,30.0,,Jake Armstrong and his best friends are unexpectedly transformed into superheroes who learn to reach far beyond the limits of any ordinary teenager.,Ended
Ejen Ali,2016,,Malay,,,,Running
Stories From Our Future,2019,2019,English,9.0,,Stories From Our Future is in partnership with Netflix inspired by fan homages to the Charlie Brooker and Annabel Jones' anthology series Black Mirror.,Ended
Old School Intern,2020,2020,Korean,35.0,,"Fresh out of school, Ka Yul Chan lands a job where his innovative ideas are squashed by a rigid, ‘old school' type of manager. Completely frustrated, he quits and goes on to success at another company, eventually becoming the chief of the sales and marketing. One day, he gets a new senior-aged intern, who is none other than his stodgy old boss.",Ended
Captive,2016,2016,English,64.0,,"Captive is an eight episode series exploring hostage situations and negotiations around the world. From the highest profile cases to those kept hidden from the public, the producers have gained privileged access to some of the most challenging negotiations of recent times. The episodes look at a wide range of situations from the viewpoint of everyone involved: the victims and their families back home, the experienced negotiators, business leaders, government officials and the kidnappers themselves.",Ended
